排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接,最后更新
1,0,迷你世界,深圳市迷你玩科技有限公司,263100,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzE5LzIwMTgwNzE5MTAwNDU0NDUwNjIyNC5wbmc=,单机榜,1944958,-,无,2018-12-06
2,0,快乐斗地主送话费,深圳市禅游科技有限公司,107096,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53ZGppbWcuY29tL21tcy9pY29uL3YxLzkvODUvNjI4OTFkODI2ZjllYTc4MDJkYTUwNGZmNWE4YTU4NTlfMjU2XzI1Ni5wbmc=,单机榜,1095126,深圳市禅游科技股份有限公司,https://www.qimai.cn/company/product/id/31341,2018-12-06
3,0,QQ飞车手游,腾讯,105041,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjQ4ODU3NV8xNTQxNjQyODQ5LzI1Ng==,单机榜,4381350,-,无,2018-12-06
4,0,开心消消乐,吴新新,155001,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDU2NTQyNV8xNTQzMjAzMjE0LzI1Ng==,单机榜,64121,-,无,2018-12-06
5,0,欢喜斗地主（送红包）,霍尔果斯蒲公英网络科技有限公司,112380,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNjI3LzIwMTgwNjI3MTU0ODQ5NTc4NDI5Mi5wbmc=,单机榜,1946637,-,无,2018-12-06
6,0,我的世界,上海网之易吾世界网络科技有限公司,0,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI2LzIwMTgwOTI2MTgyNzA2MjY2MzY5NC5qcGc=,单机榜,4882241,-,无,2018-12-06
7,0,公主的装扮舞会,掌拓信息科技有限公司,69997,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWEyZTc0N2YyMDhiMDNmZWY3YmIzYzYzY2UxNTc0OWI0JnJlZj1odHRwJTNBJTJGJTJGZS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZlLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRDIxNTZjNDMwNzhmMDgyMDIyZGM3OTkzYTdhYzlkN2Q4JTJGY2RiZjZjODE4MDBhMTlkODMwMjNhNDE2MzhmYTgyOGJhNjFlNDY4NC5qcGc=,单机榜,2045928,-,无,2018-12-06
8,0,汤姆猫跑酷（会说话系列）,天津多酷紫桐科技有限公司,113791,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTMwLzIwMTgxMTMwMTIyNTE4MzI2NTIxLmpwZw==,单机榜,1944141,-,无,2018-12-06
9,0,第五人格,杭州网易雷火科技有限公司,33006,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODI3LzIwMTgwODI3MDkzMDU4OTU4ODQxMy5wbmc=,单机榜,5432526,-,无,2018-12-06
10,0,美少女换装4,蚂蚁科技智慧,60312,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTE0ZTViYTFlOWU1MGNkODMxMzMxNmVjZmYyMjMzZjgyJnJlZj1odHRwJTNBJTJGJTJGZC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZkLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmFhZWExNWNlMzZkM2Q1Mzk5NWEzZjFjZjMwODdlOTUwMzUyYWIwMjQuanBn,单机榜,1942622,-,无,2018-12-06
11,0,我的汤姆猫,杭州哲信信息技术有限公司,76450,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwNi8yMDE3MDYxOTE4Mzc1MTM1NzMyODcucG5n,单机榜,4412403,-,无,2018-12-06
12,0,我的安吉拉,杭州哲信信息技术有限公司,50774,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOC8yMDE3MDgwMzEyMDExODEwMzM2MDAucG5n,单机榜,4572167,-,无,2018-12-06
13,0,地铁跑酷（世界环游）,深圳市梦域科技有限公司,43010,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8yNzM5NDhfMTU0Mjk2Mjc3Ni8yNTY=,单机榜,64138,深圳市创梦天地科技股份有限公司,https://www.qimai.cn/company/product/id/30699,2018-12-06
14,0,腾讯欢乐麻将全集,腾讯游戏,37954,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDEyNTM2OF8xNTQzMzg2Nzc4LzI1Ng==,单机榜,105219,深圳市腾讯计算机系统有限公司,https://www.qimai.cn/company/product/id/11,2018-12-06
15,0,神庙逃亡2（送红包）,深圳市创梦天地科技有限公司,26374,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTQ0Mjk0XzE1NDA5NTcyMDgvMjU2,单机榜,64146,深圳市创梦天地科技有限公司,https://www.qimai.cn/company/product/id/4517,2018-12-06
16,0,元气骑士（勇闯地牢）,深圳市尚愉科技有限公司,17876,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTIzLzIwMTgxMTIzMTI1ODM5Mzc3MzA5My5wbmc=,单机榜,3412132,-,无,2018-12-06
17,0,欢乐斗地主(完整版),深圳市禅游科技股份有限公司,32759,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTBjOWY3ODBjZDVjNzM4Njc2OGVmMTY3NzdmNTAzMzI1JnJlZj1odHRwJTNBJTJGJTJGaC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZoLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmNiZDNmZDFmNDEzNDk3MGEwZmY2MmY4NDlmY2FkMWM4YTY4NjVkOTcuanBn,单机榜,1179835,深圳市禅游科技股份有限公司,https://www.qimai.cn/company/product/id/31341,2018-12-06
18,0,弓箭手大作战,北京猎豹网络科技有限公司,19576,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzEzLzIwMTgwNzEzMDA0MjQ4ODY3MDQyLnBuZw==,单机榜,3644886,-,无,2018-12-06
19,0,逃跑吧！少年-星际主题上线,深圳市抱一网络科技有限公司,58443,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzAzLzIwMTgwNzAzMTgzNjQ5MzgzNDk4LmpwZw==,单机榜,6384339,-,无,2018-12-06
20,0,出租车模拟3D,天津羽仁科技有限公司,38576,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTE0ODQwNzE2MjYzMy5qcGc=,单机榜,6733924,-,无,2018-12-06
21,0,欢乐人人斗地主,广州汶颢信息技术有限公司,79014,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTIwLzIwMTgwOTIwMTA1OTU4Mjk3OTI4Ny5wbmc=,单机榜,3602642,-,无,2018-12-06
22,0,宾果消消消,北京柠檬微趣科技股份有限公司,37843,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjQ0NTI2NV8xNTQzMzE0NDMxLzI1Ng==,单机榜,1954401,-,无,2018-12-06
23,0,奥特曼传奇英雄,合肥乐堂动漫信息技术有限公司,20574,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMS8yMDE4MDExOTExNTk1ODcwOTI5MTUucG5n,单机榜,5612248,-,无,2018-12-06
24,0,火柴人战争：遗产,天津羽仁科技有限公司,118348,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTA1LzIwMTgxMTA1MTA0ODIzMTA2NDMwOC5qcGc=,单机榜,6747885,-,无,2018-12-06
25,0,登山赛车,来自互联网,8833,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFlZTcyMzU5YTNjOTcxYTc3LndlYnA=,单机榜,119673,北京唯我乐园信息技术有限公司,https://www.qimai.cn/company/product/id/30718,2018-12-06
26,0,中国象棋,北京蓝色创想网络科技有限责任公司,50301,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOC8yMDE3MDgwMTE2MzU0ODgwNDIxNC5wbmc=,单机榜,4590734,北京蓝色创想网络科技有限责任公司,https://www.qimai.cn/company/product/id/30741,2018-12-06
27,0,欢乐斗地主四人玩法（玩法合集）,霍尔果斯蒲公英网络科技有限公司,25294,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTIwLzIwMTgwOTIwMTQxMTA5MzEwNjY0MC5wbmc=,单机榜,1965690,-,无,2018-12-06
28,0,最后的子弹,天津羽仁科技有限公司,58508,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI2LzIwMTgwOTI2MTAzOTM3OTgzNzE4MC5qcGc=,单机榜,6668588,-,无,2018-12-06
29,0,城市蜘蛛人英雄冬季版,天津羽仁科技有限公司,94944,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI1LzIwMTgxMDI1MTU0OTMxMzY1MzMyOC5qcGc=,单机榜,6747598,-,无,2018-12-06
30,0,小玛丽捕鱼-正版赢话费,乐其互动(武汉）网络科技有限公司,33708,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDAyLzIwMTgwNDAyMTcyMDA1NTI1NDU4MC5wbmc=,单机榜,2373857,-,无,2018-12-06
31,0,梦幻花园（少女心 ）,深圳市创梦天地科技有限公司,34123,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI4LzIwMTgxMTI4MTcxODM1NDcyNTA0LmpwZw==,单机榜,4882925,-,无,2018-12-06
32,0,真实卡车模拟器,天津羽仁科技有限公司,79884,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTU1NjU3NDI4NjQ0MC5qcGc=,单机榜,6747490,-,无,2018-12-06
33,0,黑洞大作战,深圳梦域网络科技有限公司,39714,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODE0LzIwMTgwODE0MTQzNTMwMjUwNDczNS5qcGc=,单机榜,6536565,-,无,2018-12-06
34,0,校花超级美发,培萍工作室,21398,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWFkNDFiNTFiMTMyYjFjZjY2YTM2NGE4MmRhZWVmYmIxJnJlZj1odHRwJTNBJTJGJTJGaC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZoLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRGExMGFhMDc2YmIwMDNhZjM0ZGVmZDQ2NTA0MThlYTY5JTJGMjY3ZjllMmYwNzA4MjgzODg4ZTk5YzZiYjU5OWE5MDE0ZDA4ZjFlZC5qcGc=,单机榜,1947676,-,无,2018-12-06
35,0,忍者必须死3,杭州炎魂网络科技有限公司,55320,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNjEwLzIwMTgwNjEwMDA0MDE0MTcxNjIzNS5qcGc=,单机榜,6304315,-,无,2018-12-06
36,0,狙神荣耀,北京寻梦科技有限公司,27720,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDAyLzIwMTgwNDAyMTgyNzIwMTg1NzU3LnBuZw==,单机榜,4936941,-,无,2018-12-06
37,0,恐怖奶奶-胆小勿入,金d哲信（深圳）科技有限公司,85716,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTEyLzIwMTgxMTEyMTEzNzM0NDc0MDQwNi5qcGc=,单机榜,6770283,-,无,2018-12-06
38,0,三国杀,杭州游卡网络技术有限公司,6578,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTMzNDQzNzY2NjY1LmpwZw==,单机榜,1953547,-,无,2018-12-06
39,0,逃出银河系-木筏明日求生,深圳市天逸之夏网络科技有限公司,108060,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI5LzIwMTgxMTI5MTQwMjUyNDk5Mzg0MC5wbmc=,单机榜,6760929,-,无,2018-12-06
40,0,冲出停机场,全点信息科技软件,9608,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWIwZWQ4Y2NlYjdjY2E3OWMxYjE1NGVjMTFiZjM3ZDdiJnJlZj1odHRwJTNBJTJGJTJGZS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZlLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmNjYzM3OTMxMGE1NWIzMTk3ZmQyNGM3OTQ5YTk4MjI2Y2ZmYzE3OTcuanBn,单机榜,2671142,-,无,2018-12-06
41,0,跳舞的线,北京猎豹网络科技有限公司,9468,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTE2LzIwMTgxMTE2MTQwNjMxNTE3NTEwMi5wbmc=,单机榜,4957077,-,无,2018-12-06
42,0,消灭星星全新版,掌游天下（北京）信息技术股份有限公司,20261,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDM5OTg4NF8xNTQxNzM2NzE3LzI1Ng==,单机榜,64145,掌游天下（北京）信息技术股份有限公司,https://www.qimai.cn/company/product/id/30702,2018-12-06
43,0,疯狂吃鸡,南京齐聚元翔科技有限公司,59492,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTAyLzIwMTgxMTAyMTEyOTA5MjMwMjA3OS5qcGc=,单机榜,6750775,-,无,2018-12-06
44,0,奶块,深圳市抱一网络科技有限公司,7808,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI1LzIwMTgwOTI1MTkxNzU5NDE5NDA3OS5qcGc=,单机榜,4928218,-,无,2018-12-06
45,0,王牌大作战,掌游天下（北京）信息技术股份有限公司,9800,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI4LzIwMTgwOTI4MTIxMzMyNjY2NzgyNy5wbmc=,单机榜,3704983,掌游天下（北京）信息技术股份有限公司,https://www.qimai.cn/company/product/id/30702,2018-12-06
46,0,登山赛车2,北京唯我乐园信息技术有限公司,17062,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMjA1LzIwMTgwMjA1MTM1NTI4MzE1Nzg1Ni5wbmc=,单机榜,4319171,北京唯我乐园信息技术有限公司,https://www.qimai.cn/company/product/id/30718,2018-12-06
47,0,欢乐捕鱼人-天天赢话费,上海炫亮实业有限公司,9705,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzA1LzIwMTgwMzA1MDk1NzAwNzg1NDg5NC5wbmc=,单机榜,2096993,-,无,2018-12-06
48,0,创造与魔法,天津英雄互娱科技有限公司,0,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzEyLzIwMTgwNzEyMDE0MTQ2MTU3NDQ5My5wbmc=,单机榜,5548460,-,无,2018-12-06
49,0,欢乐真人麻将,深圳市凡游网络科技有限公司,11488,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTYwOC8yMDE2MDgyOTE1NTUwODQ0MjUyOC5qcGc=,单机榜,1961804,-,无,2018-12-06
